0,1,2,3,4,5
2001-10-22_Bucks_Nuggets_Rockets,Bucks Aquires: ;Aleksandar Radojevic;2002 second round pick (#33-Dan Gadzuric),Nuggets Aquires: ;Scott Williams;first round pick (from Bucks) (2004 #17-Josh Smith),Rockets Aquires: ;Kevin Willis,,
2001-10-25_76ers_Hornets_Warriors,76ers Aquires: ;Derrick Coleman;Corie Blount;Vonteego Cummings,Hornets Aquires: ;George Lynch;Jerome Moiso;Robert Traylor / Tractor Traylor;Chris Porter,"Warriors Aquires: ;Cedric Henderson (E.);first round pick (from 76ers) (protected top 8 in 2005, top 5 in 2006) (2005 #16-Joey Graham);cash",,
2001-10-26_Cavaliers_Heat_Raptors,Cavaliers Aquires: ;Ricky Davis;Brian Skinner,Heat Aquires: ;Chris Gatling,Raptors Aquires: ;Don MacLean;cash,,
2001-10-29_Blazers_Clippers,Blazers Aquires: ;rights to Doron Sheffer,Clippers Aquires: ;Will Perdue,,,
2001-10-29_Bulls_Suns,Bulls Aquires: ;Soumalia Samake;2003 second round pick (#45-Matt Bonner),Suns Aquires: ;Jake Voskuhl,,,
2001-11-15_Clippers_Magic_Suns,Clippers Aquires: ;Vinny Del Negro;cash,Magic Aquires: ;Jud Buechler;Magic option to swap 2005 second round picks with Clippers (not exercised),Suns Aquires: ;Charles Outlaw / Bo Outlaw;2002 first round pick (#9-Amare Stoudemire / Amar'e Stoudemire),,
2002-02-19_Bulls_Pacers,Bulls Aquires: ;Jalen Rose;Travis Best;Norm Richardson;conditional second round pick (2002 #43-Lonny Baxter),Pacers Aquires: ;Ron Artest / Metta World Peace;Brad Miller;Ron Mercer;Kevin Ollie,,,
2002-02-20_Celtics_Suns,Celtics Aquires: ;Tony Delk;Rodney Rogers,"Suns Aquires: ;Joe Johnson;Randy Brown;Milt Palacio;first round pick (top 8 protected in 2002, top 5 protected in 2003-07) (2002 #22-Casey Jacobsen)",,,
2002-02-21_Mavericks_Nuggets,Mavericks Aquires: ;Nick Van Exel;Raef LaFrentz;Avery Johnson;Tariq Abdul-Wahad / Olivier Saint-Jean,Nuggets Aquires: ;Juwan Howard;Donnell Harvey;Tim Hardaway Sr.;2002 first round pick (#25-Frank Williams);$1M cash,,,
2002-02-21_Timberwolves_Warriors,Timberwolves Aquires: ;Marc Jackson,Warriors Aquires: ;Dean Garrett;2007 second round pick (#36-Jermareo Davidson),,,
2002-06-25_Hornets_Wizards,Hornets Aquires: ;Courtney Alexander,Wizards Aquires: ;2002 first round pick (#17-Juan Dixon),,,
2002-06-26_76ers_Hawks,76ers Aquires: ;rights to Efthimios Rentzias,Hawks Aquires: ;2004 second round pick (#37-Royal Ivey);2006 second round pick (#42-Daniel Gibson),,,
2002-06-26_76ers_Warriors,"76ers Aquires: ;2004 draft pick (first round if Warriors have one of top 3 records in league next season, else second round pick) (#42-Viktor Sanikidze);first round pick (protected top 8 in 2005, top 5 in 2006) (2005 #16-Joey Graham)",Warriors Aquires: ;rights to Jiri Welsch,,,
2002-06-26_76ers_Spurs,76ers Aquires: ;Mark Bryant;rights to Randy Holcomb;rights to John Salmons,Spurs Aquires: ;Craig Claxton / Speedy Claxton,,,
2002-06-26_Bucks_Grizzlies,Bucks Aquires: ;2003 second round pick (#35-Szymon Szewczyk),Grizzlies Aquires: ;rights to Chris Owens,,,
2002-06-26_Cavaliers_Grizzlies,Cavaliers Aquires: ;Nick Anderson;rights to Matt Barnes,Grizzlies Aquires: ;Wesley Person,,,
2002-06-26_Jazz_Magic,Jazz Aquires: ;rights to Curtis Borchardt,Magic Aquires: ;rights to Ryan Humphrey;rights to Jamal Sampson,,,
2002-06-26_Lakers_Raptors,Lakers Aquires: ;Tracy Murray;Kareem Rush;2003 second round pick (#32-Luke Walton),Raptors Aquires: ;Lindsey Hunter;rights to Chris Jefferies;2003 second round pick (#52-Remon Van de Hare),,,
2002-06-26_Bucks_Magic,Bucks Aquires: ;rights to Jamal Sampson,Magic Aquires: ;rights to Rashard Griffith,,,
2002-06-26_Clippers_Magic,Clippers Aquires: ;future considerations (protection on first round pick owed to Magic changes from 1-17 to 1-23 in 2003),Magic Aquires: ;rights to Mario Kasun,,,
2002-06-26_Hawks_Kings,Hawks Aquires: ;rights to Dan Dickau,Kings Aquires: ;first round pick (2003 #25-Carlos Delfino),,,
2002-06-26_Knicks_Nuggets,Knicks Aquires: ;Antonio McDyess;rights to Frank Williams;2003 second round pick (#30-Maciej Lampe),Nuggets Aquires: ;Marcus Camby;Mark Jackson;rights to Nene / Nene Hilario / Maybyner Hilario,,,
2002-06-28_Grizzlies_Spurs,Grizzlies Aquires: ;rights to Gordan Giricek,Spurs Aquires: ;2004 second round pick (#52-Romain Sato);cash,,,
2002-07-22_Celtics_Sonics,Celtics Aquires: ;Vin Baker;Shammond Williams,Sonics Aquires: ;Kenny Anderson;Joseph Forte;Vitaly Potapenko,,,
2002-07-29_Cavaliers_Clippers,Cavaliers Aquires: ;Darius Miles;Harold Jamison,Clippers Aquires: ;Andre Miller;Bryant Stith,,,
2002-08-01_Magic_Nuggets,Magic Aquires: ;2004 second round pick (#49-Sergei Lishouk / Sergei Lishchuk),"Nuggets Aquires: ;Don Reid;first round pick (protected top 21 in 2003, top 15 in 2004, top 14 in 2005) (2006 #22-Marcus Williams)",,,
2002-08-02_Blazers_Spurs,Blazers Aquires: ;Antonio Daniels;Charles Smith (Cornelius);Amal McCaskill,Spurs Aquires: ;Steve Kerr;Erick Barkley;2003 second round pick (#58-Andreas Glyniadakis),,,
2002-08-02_Bucks_Hawks,Bucks Aquires: ;Toni Kukoc;Leon Smith;first round pick (more favorable of Hawks (top 3 protected for 7 years) or Pacers (lottery protected for 4 years)) (#8-T.J. Ford),Hawks Aquires: ;Glenn Robinson (Jr.),,,
2002-08-06_76ers_Nets,76ers Aquires: ;Keith Van Horn;Todd MacCulloch,Nets Aquires: ;Dikembe Mutombo,,,
2002-09-10_Cavaliers_Kings (trade later rescinded by Cavaliers when Cleaves failed his physical),Cavaliers Aquires: ;Mateen Cleaves,Kings (trade later rescinded by Cavaliers when Cleaves failed his physical) Aquires: ;Jumaine Jones,,,
2002-09-10_Cavaliers (trade later rescinded by Cavaliers when Cleaves failed his physical)_Kings,Kings Aquires: ;Jumaine Jones,Cavaliers (trade later rescinded by Cavaliers when Cleaves failed his physical) Aquires: ;Mateen Cleaves,,,
2002-09-11_Pistons_Wizards,Pistons Aquires: ;Richard Hamilton;Hubert Davis;Bobby Simmons,Wizards Aquires: ;Jerry Stackhouse;Brian Cardinal;Ratko Varda,,,
2002-09-17_Cavaliers_Kings,Cavaliers Aquires: ;Jumaine Jones,Kings Aquires: ;Mateen Cleaves,,,
2002-09-17_Cavaliers_Suns,Cavaliers Aquires: ;Milt Palacio,Suns Aquires: ;2008 second round pick (#48-Malik Hairston),,,
2002-09-25_Cavaliers_Raptors,"Cavaliers Aquires: ;Michael Stewart;first round pick (protected top 17 in 2005, top 16 in 2006, top 15 in 2007-08) (2007 #22-Jared Dudley)",Raptors Aquires: ;Lamond Murray;2003 or 2004 second round pick (2004 #39-Albert Miralles),,,
2002-10-01_Nuggets_Pistons,Nuggets Aquires: ;Rodney White,Pistons Aquires: ;Don Reid;Mengke Bateer;first round pick (2004 #17-Josh Smith),,,
2002-10-03_Pistons_Spurs,Pistons Aquires: ;2003 second round pick (#58-Andreas Glyniadakis),Spurs Aquires: ;Mengke Bateer,,,
2002-10-24_Nuggets_Wizards,Nuggets Aquires: ;Chris Whitney,Wizards Aquires: ;George McCloud;$500K cash,,,
2002-10-25_Bulls_Spurs,Bulls Aquires: ;Erick Barkley;$1M cash,Spurs Aquires: ;future considerations (2007 second round pick (top 51 protected) (not exercised)),,,
2002-12-18_76ers_Nuggets_Rockets,76ers Aquires: ;Kenny Thomas,"Nuggets Aquires: ;Art Long;Mark Bryant;2004 second round pick (from Rockets) (#50-Vassilis Spanoulis);first round pick (from 76ers) (protected top 8 in 2005, top 5 in 2006) (2005 #16-Joey Graham)",Rockets Aquires: ;James Posey,,
2003-02-19_Grizzlies_Magic,Grizzlies Aquires: ;Mike Miller;Ryan Humphrey;2003 first round pick (#27-Kendrick Perkins);2004 second round pick (#49-Sergei Lishouk / Sergei Lishchuk),Magic Aquires: ;Drew Gooden;Gordan Giricek;cash,,,
2003-02-20_Celtics_Nuggets,Celtics Aquires: ;Mark Blount;Mark Bryant,Nuggets Aquires: ;Shammond Williams;2003 second round pick (#46-Sani Becirovic);$1M cash,,,
2003-02-20_Hornets_Sonics,Hornets Aquires: ;Kenny Anderson,Sonics Aquires: ;Elden Campbell,,,
2003-02-20_Bucks_Sonics,Bucks Aquires: ;Gary Payton (Sr.);Desmond Mason,"Sonics Aquires: ;Ray Allen;Kevin Ollie;Ronald Murray / Flip Murray;2003 conditional round pick(s) (first round if Bucks own 2 first round picks on draft day, else 2 second round picks) (#14-Luke Ridnour)",,,
2003-06-23_Celtics_Kings,Celtics Aquires: ;2003 second round pick (#56-Brandon Hunter);2005 second round pick (#53-Orien Greene),Kings Aquires: ;rights to Darius Songaila,,,
2003-06-26_76ers_Nets,76ers Aquires: ;rights to Kyle Korver,Nets Aquires: ;cash considerations,,,
2003-06-26_76ers_Sonics,76ers Aquires: ;rights to Willie Green,Sonics Aquires: ;rights to Paccelis Morlende;cash,,,
2003-06-26_Bucks_Magic,Bucks Aquires: ;cash considerations,Magic Aquires: ;rights to Keith Bogans,,,
2003-06-26_Bulls_Raptors,Bulls Aquires: ;second round pick (2004 #38-Chris Duhon),Raptors Aquires: ;rights to Matt Bonner,,,
2003-06-26_Celtics_Grizzlies,Celtics Aquires: ;rights to Marcus Banks;rights to Kendrick Perkins,Grizzlies Aquires: ;rights to Troy Bell;rights to Dahntay Jones,,,
2003-06-26_Mavericks_Nuggets,Mavericks Aquires: ;2004 second round pick (#50-Vassilis Spanoulis),Nuggets Aquires: ;rights to Xue Yuyang / Yuyang Xue,,,
2003-06-26_Spurs_Suns,"Spurs Aquires: ;2004 first round pick (protected top 25 in 2004, top 21 in 2005-2009) (2005 #30-David Lee)",Suns Aquires: ;rights to Leandro Barbosa,,,
2003-06-27_Bucks_Timberwolves,Bucks Aquires: ;Joe Smith (Leynard);Anthony Peeler,Timberwolves Aquires: ;Sam Cassell;Ervin Johnson,,,
2003-07-23_76ers_Hawks_Knicks_Timberwolves,76ers Aquires: ;Glenn Robinson (Jr.);Marc Jackson;2006 second round pick (#42-Daniel Gibson),"Hawks Aquires: ;Terrell Brandon;rights to Randy Holcomb;2007 first round pick from 76ers (lottery protected, else $1M cash) (not exercised)",Knicks Aquires: ;Keith Van Horn,Timberwolves Aquires: ;Latrell Sprewell,
2003-07-24_Kings_Pacers_Spurs,Kings Aquires: ;Brad Miller,Pacers Aquires: ;Scot Pollard;Danny Ferry,Spurs Aquires: ;Hidayet Turkoglu / Hedo Turkoglu;Ron Mercer,,
2003-07-29_Cavaliers_Celtics,Cavaliers Aquires: ;J.R. Bremer;Bruno Sundov;conditional second round pick (2005 #50-Ryan Gomes),Celtics Aquires: ;Jumaine Jones,,,
2003-08-05_Jazz_Kings,Jazz Aquires: ;Keon Clark;2004 second round pick (#55-Luis Flores);2006 or 2007 second round pick (2007 #39-Stanko Barac),Kings Aquires: ;2004 second round pick (#48-Ricky Minard),,,
2003-08-18_Mavericks_Warriors,Mavericks Aquires: ;Antawn Jamison;Danny Forston;Chris Mills;Jiri Welsch,Warriors Aquires: ;Nick Van Exel;Avery Johnson;Ronald Jones / Popeye Jones;Antoine Rigaudeau;Evan Eschmeyer,,,
2003-08-21_Pistons_Warriors,Pistons Aquires: ;Bob Sura,Warriors Aquires: ;Clifford Robinson (R.);Juan Sanchez / Pepe Sanchez,,,
2003-08-28_Pistons_Raptors,Pistons Aquires: ;Lindsey Hunter,Raptors Aquires: ;Michael Curry,,,
2003-09-28_Clippers_Sonics,Clippers Aquires: ;Predrag Drobnjak / Peja Drobnjak,Sonics Aquires: ;second round pick (2004 #35-Andre Emmett ),,,
2003-09-30_Grizzlies_Suns,Grizzlies Aquires: ;Charles Outlaw / Bo Outlaw;Iakovos Tsakalidis / Jake Tsakalidis,Suns Aquires: ;Brevin Knight;Robert Archibald;Cezary Trybanski,,,
2003-09-30_Jazz_Rockets,"Jazz Aquires: ;Glen Rice (Sr.);2004 first round pick (#21-Pavel Podkolzine);draft pick(s) (first round pick (protected top 20 in 2003-04), else 2005 second round pick (#51-Robert Whaley), 2006 second round pick (#46-Dee Brown));$2.5M cash",Rockets Aquires: ;John Amaechi;2004 second round pick (#55-Luis Flores);$6.5M trade exception,,,
2003-10-20_Celtics_Mavericks,Celtics Aquires: ;Raef LaFrentz;Jiri Welsch;Chris Mills;2004 first round pick (lottery protected) (#24-Delonte West),Mavericks Aquires: ;Antoine Walker;Tony Delk,,,
2003-11-05_Suns_Wizards,Suns Aquires: ;Jahidi White,Wizards Aquires: ;Brevin Knight,,,
2003-12-01_Bulls_Raptors,Bulls Aquires: ;Antonio Davis;Jerome Williams;Chris Jefferies,Raptors Aquires: ;Jalen Rose;Donyell Marshall;Lonny Baxter,,,
