Key,Date,From,To,Teams Involved,Player Trade,Rights/Pick Trade
2000-08-01_Heat_Hornets=Anthony Mason (Sr.)+Tim James,2000-08-01,Anthony Mason (Sr.),Tim James,"['Heat', 'Hornets']",True,False
2000-08-01_Heat_Hornets=Anthony Mason (Sr.)+Rodney Buford,2000-08-01,Anthony Mason (Sr.),Rodney Buford,"['Heat', 'Hornets']",True,False
2000-08-01_Heat_Hornets=Jamal Mashburn+Ricky Davis,2000-08-01,Ricky Davis,Jamal Mashburn,"['Heat', 'Hornets']",True,False
2000-08-01_Heat_Hornets=P.J. Brown+Ricky Davis,2000-08-01,Ricky Davis,P.J. Brown,"['Heat', 'Hornets']",True,False
2000-08-01_Heat_Hornets=Otis Thorpe+Ricky Davis,2000-08-01,Ricky Davis,Otis Thorpe,"['Heat', 'Hornets']",True,False
2000-08-01_Heat_Hornets=Ricky Davis+Tim James,2000-08-01,Ricky Davis,Tim James,"['Heat', 'Hornets']",True,False
2000-08-01_Heat_Hornets=Ricky Davis+Rodney Buford,2000-08-01,Ricky Davis,Rodney Buford,"['Heat', 'Hornets']",True,False
2000-08-01_Heat_Hornets=Dale Ellis+Jamal Mashburn,2000-08-01,Dale Ellis,Jamal Mashburn,"['Heat', 'Hornets']",True,False
2000-08-01_Heat_Hornets=Dale Ellis+P.J. Brown,2000-08-01,Dale Ellis,P.J. Brown,"['Heat', 'Hornets']",True,False
2000-08-01_Heat_Hornets=Dale Ellis+Otis Thorpe,2000-08-01,Dale Ellis,Otis Thorpe,"['Heat', 'Hornets']",True,False
2000-08-01_Heat_Hornets=Dale Ellis+Tim James,2000-08-01,Dale Ellis,Tim James,"['Heat', 'Hornets']",True,False
2000-08-01_Heat_Hornets=Dale Ellis+Rodney Buford,2000-08-01,Dale Ellis,Rodney Buford,"['Heat', 'Hornets']",True,False
2000-08-03_Cavaliers_Magic=Andrew DeClercq+Matt Harpring,2000-08-03,Matt Harpring,Andrew DeClercq,"['Cavaliers', 'Magic']",True,False
2000-08-03_Magic_Pistons=Ben Wallace+Grant Hill,2000-08-03,Grant Hill,Ben Wallace,"['Magic', 'Pistons']",True,False
